date,is_kospi,index_price,stock_id,name,closing_price,deep_weight
2024-04-25,KOSDAQ,853.26,265520,AP시스템,33500,0.1568
2024-04-25,KOSDAQ,853.26,405640,신한제9호스팩,4900,0.2338
2024-04-25,KOSDAQ,853.26,413630,유진스팩8호,4900,0.3429
2024-04-25,KOSPI,2628.62,010120,LS ELECTRIC,152300,0.1106
2024-04-25,KOSDAQ,853.26,317330,덕산테코피아,40400,0.1559
